concept_id,concept,cluster_id,branch_name,reconstructed_proto_form,ipa_form,confidence_score,articulatory_notes,primary_proto_attestations,daughter_attestations
19,bone,branch_african,Proto-Sapiens Africanus (Праафриканский),*ḳ-sʼ / ʕ-sʼ-m,ḳ-sʼ / ʕ-sʼ-m,0.98,"Reconstructed stem *ḳ-sʼ / ʕ-sʼ-m with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *ḳ-sʼ / *ʕ-sʼ-m; Прасемитский / Proto-Semitic: *ʕaẓm-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: qs; Proto-Kalahari Khoe: *ǀʼõã,Праафразийский праязык / Proto-Afroasiatic: *ḳ-sʼ / *ʕ-sʼ-m; Прасемитский / Proto-Semitic: *ʕaẓm-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: qs; Proto-Kalahari Khoe: *ǀʼõã; Proto-Khoekhoe: *ǂxo- #
20,one,branch_african,Proto-Sapiens Africanus (Праафриканский),*w-ʕ-d,w-ʕ-d,0.98,"Reconstructed stem *w-ʕ-d with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *w-ʕ-d; Прасемитский / Proto-Semitic: *ʔaḥad-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: wꜥ; Proto-Kalahari Khoe: *ǀui,Праафразийский праязык / Proto-Afroasiatic: *w-ʕ-d; Прасемитский / Proto-Semitic: *ʔaḥad-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: wꜥ; Proto-Kalahari Khoe: *ǀui; Proto-Khoekhoe: *ǀui
21,two,branch_african,Proto-Sapiens Africanus (Праафриканский),*s-n-y,s-n-y,0.98,"Reconstructed stem *s-n-y with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *s-n-y; Прасемитский / Proto-Semitic: *ṯinān-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: snw; Proto-Kalahari Khoe: *ǀam,Праафразийский праязык / Proto-Afroasiatic: *s-n-y; Прасемитский / Proto-Semitic: *ṯinān-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: snw; Proto-Kalahari Khoe: *ǀam; Proto-Khoekhoe: *ǀam
22,who,branch_african,Proto-Sapiens Africanus (Праафриканский),*man,man,0.98,"Reconstructed stem *man with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *man; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: mj; Proto-Kalahari Khoe: *ma; Proto-Khoekhoe: *da-,Прасемитский / Proto-Semitic: *man; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: mj; Proto-Kalahari Khoe: *ma; Proto-Khoekhoe: *da-; Proto North Khoisan: *hà-ǯù
23,what,branch_african,Proto-Sapiens Africanus (Праафриканский),*mā,mā,0.98,"Reconstructed stem *mā with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *mā; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jḫ; Proto-Kalahari Khoe: *n-du; Proto-Khoekhoe: *da-,Прасемитский / Proto-Semitic: *mā; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jḫ; Proto-Kalahari Khoe: *n-du; Proto-Khoekhoe: *da-; Proto North Khoisan: *hà-čí
24,thou,branch_african,Proto-Sapiens Africanus (Праафриканский),*k-t / ʔ-n-t,k-t / ʔ-n-t,0.98,"Reconstructed stem *k-t / ʔ-n-t with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *k-t / *ʔ-n-t; Прасемитский / Proto-Semitic: *ʔanta; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ntk / ntt; Proto-Kalahari Khoe: *ca / *sa,Праафразийский праязык / Proto-Afroasiatic: *k-t / *ʔ-n-t; Прасемитский / Proto-Semitic: *ʔanta; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ntk / ntt; Proto-Kalahari Khoe: *ca / *sa; Proto-Khoekhoe: *sa=c / *sa=s
25,we,branch_african,Proto-Sapiens Africanus (Праафриканский),*n-ħ-n,n-ħ-n,0.98,"Reconstructed stem *n-ħ-n with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *n-ħ-n; Прасемитский / Proto-Semitic: *niḥnū; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jnn; Proto-Kalahari Khoe: *=m,Праафразийский праязык / Proto-Afroasiatic: *n-ħ-n; Прасемитский / Proto-Semitic: *niḥnū; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jnn; Proto-Kalahari Khoe: *=m; Proto-Khoekhoe: *=m
26,i,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʔanāku,ʔanāku,0.98,"Reconstructed stem *ʔanāku with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *ʔanāku; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jnk; Proto-Kalahari Khoe: *ti; Proto-Khoekhoe: *ti-,Прасемитский / Proto-Semitic: *ʔanāku; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jnk; Proto-Kalahari Khoe: *ti; Proto-Khoekhoe: *ti-; Proto North Khoisan: *mí
27,die,branch_african,Proto-Sapiens Africanus (Праафриканский),*m-w-t,m-w-t,0.98,"Reconstructed stem *m-w-t with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *m-w-t; Прасемитский / Proto-Semitic: *mwt; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: mwt; Proto-Kalahari Khoe: *ǁʼo,Праафразийский праязык / Proto-Afroasiatic: *m-w-t; Прасемитский / Proto-Semitic: *mwt; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: mwt; Proto-Kalahari Khoe: *ǁʼo; Proto-Khoekhoe: *ǁʼo
28,come,branch_african,Proto-Sapiens Africanus (Праафриканский),*ha,ha,0.98,"Reconstructed stem *ha with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ha; Proto-Khoekhoe: *ha; Proto North Khoisan: *cí; Proto-!Wi: *sa ~ *si,Proto-Kalahari Khoe: *ha; Proto-Khoekhoe: *ha; Proto North Khoisan: *cí; Proto-!Wi: *sa ~ *si; Aasax: dah-
29,eat,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʔkl,ʔkl,0.98,"Reconstructed stem *ʔkl with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *ʔkl; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: wnm; Proto-Kalahari Khoe: *ǂʼũ; Proto-Khoekhoe: *ǂʼũ,Прасемитский / Proto-Semitic: *ʔkl; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: wnm; Proto-Kalahari Khoe: *ǂʼũ; Proto-Khoekhoe: *ǂʼũ; Proto North Khoisan: *ʔḿ
30,drink,branch_african,Proto-Sapiens Africanus (Праафриканский),*šty,šty,0.98,"Reconstructed stem *šty with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *šty; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: swr; Proto-Kalahari Khoe: *xʼa; Proto-Khoekhoe: *xʼa,Прасемитский / Proto-Semitic: *šty; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: swr; Proto-Kalahari Khoe: *xʼa; Proto-Khoekhoe: *xʼa; Proto North Khoisan: *čʰȉŋ
31,dog,branch_african,Proto-Sapiens Africanus (Праафриканский),*k-l-b,k-l-b,0.98,"Reconstructed stem *k-l-b with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *k-l-b; Прасемитский / Proto-Semitic: *kalb-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ṯzm / jwr; Proto-Kalahari Khoe: *haˤri-gu #,Праафразийский праязык / Proto-Afroasiatic: *k-l-b; Прасемитский / Proto-Semitic: *kalb-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ṯzm / jwr; Proto-Kalahari Khoe: *haˤri-gu #; Proto-Khoekhoe: *ʔari-
32,fish,branch_african,Proto-Sapiens Africanus (Праафриканский),*samak- / nūn-,samak- / nūn-,0.98,"Reconstructed stem *samak- / nūn- with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *samak- / *nūn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rm; Proto-Kalahari Khoe: *ǁʼau; Proto-Khoekhoe: *ǁʼau-,Прасемитский / Proto-Semitic: *samak- / *nūn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rm; Proto-Kalahari Khoe: *ǁʼau; Proto-Khoekhoe: *ǁʼau-; Proto North Khoisan: *mí
33,tree,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʕiṣ́-,ʕiṣ́-,0.98,"Reconstructed stem *ʕiṣ́- with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *ʕiṣ́-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḫt; Proto-Kalahari Khoe: *yi; Proto-Khoekhoe: *hai-,Прасемитский / Proto-Semitic: *ʕiṣ́-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: ḫt; Proto-Kalahari Khoe: *yi; Proto-Khoekhoe: *hai-; Proto North Khoisan: *ʰȁŋi
34,stone,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʔabn-,ʔabn-,0.98,"Reconstructed stem *ʔabn- with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *ʔabn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jnr; Proto-Kalahari Khoe: *oaˤ; Proto-Khoekhoe: *ǀʼui-,Прасемитский / Proto-Semitic: *ʔabn-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: jnr; Proto-Kalahari Khoe: *oaˤ; Proto-Khoekhoe: *ǀʼui-; Proto North Khoisan: *ò ~ *ù
35,night,branch_african,Proto-Sapiens Africanus (Праафриканский),*layl-,layl-,0.98,"Reconstructed stem *layl- with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *layl-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: grḥ; Proto-Kalahari Khoe: *tʰu; Proto-Khoekhoe: *tʰu-xu-,Прасемитский / Proto-Semitic: *layl-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: grḥ; Proto-Kalahari Khoe: *tʰu; Proto-Khoekhoe: *tʰu-xu-; Proto North Khoisan: *ú
36,name,branch_african,Proto-Sapiens Africanus (Праафриканский),*s-m,s-m,0.98,"Reconstructed stem *s-m with initial labial/dental stop, open vowel, and preserved root structure.",Праафразийский праязык / Proto-Afroasiatic: *s-m; Прасемитский / Proto-Semitic: *šim-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rn; Proto-Kalahari Khoe: *ǀxʼon,Праафразийский праязык / Proto-Afroasiatic: *s-m; Прасемитский / Proto-Semitic: *šim-; Old Egyptian / Древнеегипетский (Раннее и Древнее царство) [egyp1253]: rn; Proto-Kalahari Khoe: *ǀxʼon; Proto-Khoekhoe: *ǀxʼon-
37,burn,branch_african,Proto-Sapiens Africanus (Праафриканский),*dao,dao,0.98,"Reconstructed stem *dao with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *dao; Proto-Khoekhoe: *dao; Proto North Khoisan: *kūʔú; Proto-!Wi: *ǁa #,Proto-Kalahari Khoe: *dao; Proto-Khoekhoe: *dao; Proto North Khoisan: *kūʔú; Proto-!Wi: *ǁa #; Aasax: daʔ-
38,full,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǀxʼoɛ,ǀxʼoɛ,0.98,"Reconstructed stem *ǀxʼoɛ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǀxʼoɛ; Proto-Khoekhoe: *ǀxʼoa-; Proto North Khoisan: *àʔŋ; Proto-!Wi: *!qauŋ #,Proto-Kalahari Khoe: *ǀxʼoɛ; Proto-Khoekhoe: *ǀxʼoa-; Proto North Khoisan: *àʔŋ; Proto-!Wi: *!qauŋ #; Aasax: haš-
39,give,branch_african,Proto-Sapiens Africanus (Праафриканский),*ntn / whb,ntn / whb,0.98,"Reconstructed stem *ntn / whb with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *ntn / *whb; Proto-Kalahari Khoe: *ma ~ *mã; Proto-Khoekhoe: *ma; Proto North Khoisan: *ǀãʔã,Прасемитский / Proto-Semitic: *ntn / *whb; Proto-Kalahari Khoe: *ma ~ *mã; Proto-Khoekhoe: *ma; Proto North Khoisan: *ǀãʔã; Proto-!Wi: *a #
40,good,branch_african,Proto-Sapiens Africanus (Праафриканский),*ṭāb-,ṭāb-,0.98,"Reconstructed stem *ṭāb- with initial labial/dental stop, open vowel, and preserved root structure.",Прасемитский / Proto-Semitic: *ṭāb-; Proto-Kalahari Khoe: *tʼoni; Proto-Khoekhoe: *!ãĩ; Proto North Khoisan: *žã,Прасемитский / Proto-Semitic: *ṭāb-; Proto-Kalahari Khoe: *tʼoni; Proto-Khoekhoe: *!ãĩ; Proto North Khoisan: *žã; Aasax: =ʔila
41,new,branch_african,Proto-Sapiens Africanus (Праафриканский),*xʼoa,xʼoa,0.98,"Reconstructed stem *xʼoa with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *xʼoa; Proto-Khoekhoe: *ǀʼa-sa #; Proto North Khoisan: *ʒe,Proto-Kalahari Khoe: *xʼoa; Proto-Khoekhoe: *ǀʼa-sa #; Proto North Khoisan: *ʒe; Aasax: =ʔamba; Nayi [noz]: kʼa-nu
42,red,branch_african,Proto-Sapiens Africanus (Праафриканский),*oaˤ,oaˤ,0.98,"Reconstructed stem *oaˤ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *oaˤ; Proto-Khoekhoe: *ǀxʼaba; Proto North Khoisan: * ~ *ae; Proto-!Wi: *ǂ1e ~ *ǂ1i,Proto-Kalahari Khoe: *oaˤ; Proto-Khoekhoe: *ǀxʼaba; Proto North Khoisan: * ~ *ae; Proto-!Wi: *ǂ1e ~ *ǂ1i; Aasax: =huma
43,white,branch_african,Proto-Sapiens Africanus (Праафриканский),*xoɛ,xoɛ,0.98,"Reconstructed stem *xoɛ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *xoɛ #; Proto-Khoekhoe: *!ʼuri #; Proto North Khoisan: *!àʔū; Proto-!Wi: *ŋ,Proto-Kalahari Khoe: *xoɛ #; Proto-Khoekhoe: *!ʼuri #; Proto North Khoisan: *!àʔū; Proto-!Wi: *ŋ; Aasax: =abaka
