Concept;Dual-Trunk Proto-Human Form;IPA Form;Confidence Score;Proto-African Core Stem;Proto-Eurasian Core Stem;Oceanic Outgroup Shift (Variability);Etymological Chain
liver;*la;la;0.98;*xʼẽĩ;*läƛʼ;Oceanic Outgroup Shift: *kaŋkan (Drift: CV simplification);Proto-Human (*la) ---> African Core (*xʼẽĩ) / Eurasian Core (*läƛʼ) [Validation: *kaŋkan]
long;*ha;ha;0.98;*!ao;*hˤalä-;Oceanic Outgroup Shift: *təɾɘy (Drift: CV simplification);Proto-Human (*ha) ---> African Core (*!ao) / Eurasian Core (*hˤalä-) [Validation: *təɾɘy]
louse;*nu;nu;0.98;*xʼuni;*näcʼː;Oceanic Outgroup Shift: *tɪmɨn (Drift: CV simplification);Proto-Human (*nu) ---> African Core (*xʼuni) / Eurasian Core (*näcʼː) [Validation: *tɪmɨn]
man;*ši;ši;0.98;*xʼao;*šːʷiy;Oceanic Outgroup Shift: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn (Drift: CV simplification);Proto-Human (*ši) ---> African Core (*xʼao) / Eurasian Core (*šːʷiy) [Validation: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn]
many;*ʔa;ʔa;0.98;*xʼao;*ʔaˤɨ-;Oceanic Outgroup Shift: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn (Drift: CV simplification);Proto-Human (*ʔa) ---> African Core (*xʼao) / Eurasian Core (*ʔaˤɨ-) [Validation: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn]
meat;*ƛa;ƛa;0.98;*xʼo-xu;*yaƛʼː;Oceanic Outgroup Shift: *kaʔ- / kap- (Drift: CV simplification);Proto-Human (*ƛa) ---> African Core (*xʼo-xu) / Eurasian Core (*yaƛʼː) [Validation: *kaʔ- / kap-]
mountain;*sa;sa;0.98;*ti;*sɨwa;Oceanic Outgroup Shift: *mutupɪ (Drift: CV simplification);Proto-Human (*sa) ---> African Core (*ti) / Eurasian Core (*sɨwa) [Validation: *mutupɪ]
mouth;*sa;sa;0.98;*xʼam;*sːɨw;Oceanic Outgroup Shift: *laʔ-laʔ ~ lan-lan / lan-lam- (Drift: CV simplification);Proto-Human (*sa) ---> African Core (*xʼam) / Eurasian Core (*sːɨw) [Validation: *laʔ-laʔ ~ lan-lan / lan-lam-]
neck;*a;a;0.98;*!xʼao;*ˤaw;Oceanic Outgroup Shift: *uŋki (Drift: CV simplification);Proto-Human (*a) ---> African Core (*!xʼao) / Eurasian Core (*ˤaw) [Validation: *uŋki]
nose;*mu;mu;0.98;*ǂui;*muʔel;Oceanic Outgroup Shift: *ni-tɨʔ (Drift: CV simplification);Proto-Human (*mu) ---> African Core (*ǂui) / Eurasian Core (*muʔel) [Validation: *ni-tɨʔ]
not;*ta;ta;0.98;*=tama;*tːV-;Oceanic Outgroup Shift: *kuʔ (Drift: CV simplification);Proto-Human (*ta) ---> African Core (*=tama) / Eurasian Core (*tːV-) [Validation: *kuʔ]
person;*ši;ši;0.98;*kʰoe;*šːʷiy;Oceanic Outgroup Shift: *kɨnmaʔ (Drift: CV simplification);Proto-Human (*ši) ---> African Core (*kʰoe) / Eurasian Core (*šːʷiy) [Validation: *kɨnmaʔ]
road;*we;we;0.98;*dao;*weǵʰ-;Oceanic Outgroup Shift: *wɪ (Drift: CV simplification);Proto-Human (*we) ---> African Core (*dao) / Eurasian Core (*weǵʰ-) [Validation: *wɪ]
root;*ci;ci;0.98;*toˤbe;*ciːǯ;Oceanic Outgroup Shift: *ɪ-tɨʔ (Drift: CV simplification);Proto-Human (*ci) ---> African Core (*toˤbe) / Eurasian Core (*ciːǯ) [Validation: *ɪ-tɨʔ]
round;*gi;gi;0.93;*gɐrti;*girgʷV;Oceanic Outgroup Shift: *ka (Drift: CV simplification);Proto-Human (*gi) ---> African Core (*gɐrti) / Eurasian Core (*girgʷV) [Validation: *ka]
sand;*šo;šo;0.98;*xom;*šːäm;Oceanic Outgroup Shift: *yi-luʔ-tɨʔ (Drift: CV simplification);Proto-Human (*šo) ---> African Core (*xom) / Eurasian Core (*šːäm) [Validation: *yi-luʔ-tɨʔ]
say;*ʔi;ʔi;0.98;*mĩ;*ʔiʔʷˤɨ-;Oceanic Outgroup Shift: *t- (Drift: CV simplification);Proto-Human (*ʔi) ---> African Core (*mĩ) / Eurasian Core (*ʔiʔʷˤɨ-) [Validation: *t-]
seed;*ɬi;ɬi;0.98;*ǀxuri;*ɬːʷin;Oceanic Outgroup Shift: *laya (Drift: CV simplification);Proto-Human (*ɬi) ---> African Core (*ǀxuri) / Eurasian Core (*ɬːʷin) [Validation: *laya]
skin;*co;co;0.98;*kʰo;*cʼoːka;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (*co) ---> African Core (*kʰo) / Eurasian Core (*cʼoːka) [Validation: *kʷa]
sleep;*ʔa;ʔa;0.98;*ǁʼom;*ʔasʷɨn- ~ ʔasːʷɨn-;Oceanic Outgroup Shift: *wɪ... (Drift: CV simplification);Proto-Human (*ʔa) ---> African Core (*ǁʼom) / Eurasian Core (*ʔasʷɨn- ~ ʔasːʷɨn-) [Validation: *wɪ...]
small;*ka;ka;0.98;*ǀxʼare;*kʼɨʔʷV;Oceanic Outgroup Shift: *yami (Drift: CV simplification);Proto-Human (*ka) ---> African Core (*ǀxʼare) / Eurasian Core (*kʼɨʔʷV) [Validation: *yami]
smoke;*ku;ku;0.98;*cʼani;*kːunː;Oceanic Outgroup Shift: *tasu (Drift: CV simplification);Proto-Human (*ku) ---> African Core (*cʼani) / Eurasian Core (*kːunː) [Validation: *tasu]
snake;*ƛa;ƛa;0.98;*ǀxʼao;*ƛːar;Oceanic Outgroup Shift: *yaʔwan (Drift: CV simplification);Proto-Human (*ƛa) ---> African Core (*ǀxʼao) / Eurasian Core (*ƛːar) [Validation: *yaʔwan]
swim;*ɬa;ɬa;0.98;*bara;*ɬːänː ʔaʔar-;Oceanic Outgroup Shift: *ɪyun- (Drift: CV simplification);Proto-Human (*ɬa) ---> African Core (*bara) / Eurasian Core (*ɬːänː ʔaʔar-) [Validation: *ɪyun-]
tail;*po;po;0.98;*cao;*porkos;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (*po) ---> African Core (*cao) / Eurasian Core (*porkos) [Validation: *kʷa]
that;*tak;tak;0.98;*a-;*tV;Oceanic Outgroup Shift: *...na (Drift: CV simplification);Proto-Human (*tak) ---> African Core (*a-) / Eurasian Core (*tV) [Validation: *...na]
this;*mek;mek;0.98;*e;*mV;Oceanic Outgroup Shift: *...suʔ (Drift: CV simplification);Proto-Human (*mek) ---> African Core (*e) / Eurasian Core (*mV) [Validation: *...suʔ]
walk / go;*ʔi;ʔi;0.98;*!ũ;*ʔiqːʷˤä-;Oceanic Outgroup Shift: *paʔ- / pak- (Drift: CV simplification);Proto-Human (*ʔi) ---> African Core (*!ũ) / Eurasian Core (*ʔiqːʷˤä-) [Validation: *paʔ- / pak-]
warm / hot;*ʔi;ʔi;0.98;*kʰúí;*ʔiƛːVr-;Oceanic Outgroup Shift: *čə (Drift: CV simplification);Proto-Human (*ʔi) ---> African Core (*kʰúí) / Eurasian Core (*ʔiƛːVr-) [Validation: *čə]
woman;*ɬo;ɬo;0.98;*ae;*ɬːɨnː-ol;Oceanic Outgroup Shift: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn (Drift: CV simplification);Proto-Human (*ɬo) ---> African Core (*ae) / Eurasian Core (*ɬːɨnː-ol) [Validation: *kɨnmaʔ-pɨn ~ kɨnmaʔ-pɪn]
yellow;*qu;qu;0.98;*ǀȁŋu;*qäqV;Oceanic Outgroup Shift: *šaʔpɪʔ (Drift: CV simplification);Proto-Human (*qu) ---> African Core (*ǀȁŋu) / Eurasian Core (*qäqV) [Validation: *šaʔpɪʔ]
far;*ʔa;ʔa;0.98;*u;*ʔarːV;Oceanic Outgroup Shift: *ririʔi (Drift: CV simplification);Proto-Human (*ʔa) ---> African Core (*u) / Eurasian Core (*ʔarːV) [Validation: *ririʔi]
heavy;*hi;hi;0.98;*!om;*hˤiqʼʷɨ;Oceanic Outgroup Shift: *kom ~ kum (Drift: CV simplification);Proto-Human (*hi) ---> African Core (*!om) / Eurasian Core (*hˤiqʼʷɨ) [Validation: *kom ~ kum]
near;*ʔa;ʔa;0.98;*ǀu;*ʔˤamː;Oceanic Outgroup Shift: *wɨ (Drift: CV simplification);Proto-Human (*ʔa) ---> African Core (*ǀu) / Eurasian Core (*ʔˤamː) [Validation: *wɨ]
salt;*qo;qo;0.98;*doˤbe;*qʼäl;Oceanic Outgroup Shift: *yamuɾa (Drift: CV simplification);Proto-Human (*qo) ---> African Core (*doˤbe) / Eurasian Core (*qʼäl) [Validation: *yamuɾa]
short;*ko;ko;0.98;*ǁom;*kːʷVˤtʼV;Oceanic Outgroup Shift: *pa-tə (Drift: CV simplification);Proto-Human (*ko) ---> African Core (*ǁom) / Eurasian Core (*kːʷVˤtʼV) [Validation: *pa-tə]
thin;*ƛi;ƛi;0.98;*ti;*ƛʼɨlä;Oceanic Outgroup Shift: *sɪmɨ- (Drift: CV simplification);Proto-Human (*ƛi) ---> African Core (*ti) / Eurasian Core (*ƛʼɨlä) [Validation: *sɪmɨ-]
wind;*mu;mu;0.98;*ǂʼã;*muč;Oceanic Outgroup Shift: *kʷa (Drift: CV simplification);Proto-Human (*mu) ---> African Core (*ǂʼã) / Eurasian Core (*muč) [Validation: *kʷa]
worm;*mu;mu;0.98;*ǂxʼoni-;*mulaqʷˤ;Oceanic Outgroup Shift: *kuwiʔ (Drift: CV simplification);Proto-Human (*mu) ---> African Core (*ǂxʼoni-) / Eurasian Core (*mulaqʷˤ) [Validation: *kuwiʔ]
year;*su;su;0.98;*kuri;*sːän;Oceanic Outgroup Shift: *wɨ (Drift: CV simplification);Proto-Human (*su) ---> African Core (*kuri) / Eurasian Core (*sːän) [Validation: *wɨ]
